"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Group_Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Numeric_Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Fasilitas Toilet (Toilet bowl, Tisu, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Fasilitas Toilet (Toilet bowl, Tisu, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Alur & Pengelolaan Toilet-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Alur & Pengelolaan Toilet-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Fasilitas Toilet kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Fasilitas Toilet kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Alur & Pengelolaan Toilet kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Alur & Pengelolaan Toilet kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Campaign Id"
"1","API dan IAS","CGK T1","1","TOILET T1B - ARRIVAL CORRIDOR PRIA","B. CCA. P","5","Satisfied","5",,,,"5","5","5","5","5","5","Petugas ramah dan sopan|Berpenampilan rapi dengan seragam jelas|Cepat tanggap saat membantu penumpang",,,,"Ketersediaan tisu, sabun, air, dan hand dryer|Toilet bowl, urinoir, dan wastafel bersih dan berfungsi dengan baik|Toilet memiliki aroma yang wangi|Penerangan dan sirkulasi udara toilet baik",,,,"Lokasi toilet mudah terlihat dan terjangkau|Jumlah toilet mencukupi sehingga tidak ada antrean",,,,"99b1c69d-bbba-4000-9c4f-8d7db4701728","Completed","New","07-12-2025 15:44:49","Anonymous","57050",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-07T08:43:52.1466Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"2","API dan IAS","KNO","3","TOILET,P2 PRIA","KNO-TP-P02","5","Satisfied","5","Cukup bagus",,"Positive","5","5","5","5","5","5","Petugas ramah dan sopan",,,,"Ketersediaan tisu, sabun, air, dan hand dryer",,,,"Lokasi toilet mudah terlihat dan terjangkau",,,,"022a0362-ca79-4965-a13e-bef509eed424","Completed","New","07-12-2025 15:37:00","Anonymous","38264",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-07T08:36:21.6670Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"3","API dan IAS","KNO","3","TOILET,P2 WANITA","KNO-TW-P02","5","Satisfied","5","𝘛𝘰𝘪𝘭𝘦𝘵 𝘸𝘢𝘯𝘨𝘪 𝘥𝘢𝘯 𝘱𝘦𝘵𝘶𝘨𝘢𝘴 𝘯𝘺𝘢 𝘳𝘢𝘮𝘢𝘩","Cleanliness and Hygiene of Toilets|Facility Maintenance and Upkeep|Toilet Facilities and Completeness (e.g., soap, water, seats)","Neutral","5","5","5","5","5","5","Petugas ramah dan sopan|Berpenampilan rapi dengan seragam jelas|Cepat tanggap saat membantu penumpang",,,,"Ketersediaan tisu, sabun, air, dan hand dryer|Toilet bowl, urinoir, dan wastafel bersih dan berfungsi dengan baik|Toilet memiliki aroma yang wangi",,,,"Lokasi toilet mudah terlihat dan terjangkau|Jumlah toilet mencukupi sehingga tidak ada antrean|Proses penanganan masalah cepat sehingga aktivitas bisa berjalan dengan lancar|Jadwal kebersihan yang konsisten sehingga toilet selalu dalam kondisi bersih",,,,"f4ccdd9f-e415-4987-8328-d189845424d2","Completed","New","07-12-2025 12:34:33","Anonymous","122102",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-07T05:32:31.1691Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"4","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","5","Satisfied","5","Mantab",,"Positive","5","5","5","5","5","5","Petugas ramah dan sopan|Berpenampilan rapi dengan seragam jelas|Cepat tanggap saat membantu penumpang",,,,"Penerangan dan sirkulasi udara toilet baik|Toilet memiliki aroma yang wangi|Toilet bowl, urinoir, dan wastafel bersih dan berfungsi dengan baik|Ketersediaan tisu, sabun, air, dan hand dryer",,,,"Jumlah toilet mencukupi sehingga tidak ada antrean|Proses penanganan masalah cepat sehingga aktivitas bisa berjalan dengan lancar|Jadwal kebersihan yang konsisten sehingga toilet selalu dalam kondisi bersih|Lokasi toilet mudah terlihat dan terjangkau",,,,"4983fbd4-6574-458c-a12f-1e4f7bd19b49","Completed","New","07-12-2025 12:27:59","Anonymous","115665",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-07T05:26:00.2281Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"5","API dan IAS","KNO","3","TOILET,D2 PRIA","KNO-TP-D02","5","Satisfied","5","Petugasnya ramah","Customer Feedback, Complaint Handling, and Service Quality","Positive","5","5","5","5","5","5","Petugas ramah dan sopan|Berpenampilan rapi dengan seragam jelas|Cepat tanggap saat membantu penumpang",,,,"Ketersediaan tisu, sabun, air, dan hand dryer|Toilet bowl, urinoir, dan wastafel bersih dan berfungsi dengan baik|Toilet memiliki aroma yang wangi|Penerangan dan sirkulasi udara toilet baik",,,,"Lokasi toilet mudah terlihat dan terjangkau|Jumlah toilet mencukupi sehingga tidak ada antrean",,,,"a2c46752-4451-49e0-95d7-55be7831f82c","Completed","New","07-12-2025 11:10:15","Anonymous","103206",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-07T04:08:32.8020Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"6","API dan IAS","KNO","3","TOILET,P4 PRIA","KNO-TP-P04","5","Satisfied","5","Toilet nya bersih petugas nya ramah","Cleanliness and Hygiene of Toilets|Customer Feedback, Complaint Handling, and Service Quality","Positive","5","5","5","5","5","5","Petugas ramah dan sopan",,,,"Ketersediaan tisu, sabun, air, dan hand dryer",,,,"Lokasi toilet mudah terlihat dan terjangkau",,,,"05bb81e9-3027-48df-99f5-a27c8408e355","Completed","New","07-12-2025 10:32:38","Anonymous","53271",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-07T03:31:42.8739Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"7","API dan IAS","KNO","3","TOILET,D6 PRIA","KNO-TP-D06","5","Satisfied","5","Bersih","Cleanliness and Hygiene of Toilets","Neutral","5","5","5","5","5","5","Petugas ramah dan sopan",,,,"Ketersediaan tisu, sabun, air, dan hand dryer",,,,"Lokasi toilet mudah terlihat dan terjangkau",,,,"0921672d-2ae8-43c3-8068-b3944d1f7ded","Completed","New","07-12-2025 09:54:04","Anonymous","102905",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-07T02:52:21.0430Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"8","API dan IAS","CGK T2","1","TOILET T2D - BOARDING ROOM T2D-3 PRIA","API&IAS-TOILET-CGK T2-BL D3 TP","5","Satisfied","5","Sangat wangi dan bersih","Odor Control, Ventilation, and Overall Comfort|Cleanliness and Hygiene of Toilets","Positive","5","5","5","5","5","5","Petugas ramah dan sopan|Berpenampilan rapi dengan seragam jelas|Cepat tanggap saat membantu penumpang|Jumlah petugas cukup|Lainnya","Petugas sangat ramah dan Full Senyum❤️",,,"Ketersediaan tisu, sabun, air, dan hand dryer|Toilet bowl, urinoir, dan wastafel bersih dan berfungsi dengan baik|Toilet memiliki aroma yang wangi|Penerangan dan sirkulasi udara toilet baik|Lainnya","Petugas Sangat Ramah dan Full Senyum",,,"Lokasi toilet mudah terlihat dan terjangkau|Jumlah toilet mencukupi sehingga tidak ada antrean|Proses penanganan masalah cepat sehingga aktivitas bisa berjalan dengan lancar|Jadwal kebersihan yang konsisten sehingga toilet selalu dalam kondisi bersih|Lainnya","Petugas Sangat Ramah dan Full Senyum❤️",,,"3cd8d337-c032-4eb4-843d-bfdf70b80995","Completed","New","07-12-2025 08:23:29","Anonymous","253857",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-07T01:19:14.4066Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"9","API dan IAS","CGK T2","1","TOILET T2D - BAGGAGE CLAIM PRIA","API&IAS-TOILET-CGK T2-HCO D TP","5","Satisfied","5","Jumlah toilet sedikit. Sebaiknya bisa diperbanyak seperti Terminal 3","Facility Maintenance and Upkeep|Suggestions for Facility Improvements (e.g., additional toilets, decoration, signage)","Negative","5","5","5","5","4","4","Petugas ramah dan sopan|Berpenampilan rapi dengan seragam jelas",,,,"Ketersediaan tisu, sabun, air, dan hand dryer|Penerangan dan sirkulasi udara toilet baik",,,,"Jadwal kebersihan yang konsisten sehingga toilet selalu dalam kondisi bersih",,,,"fc3c2dda-db49-464f-8b61-849068362398","Completed","New","07-12-2025 02:37:31","Anonymous","649347",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-06T19:26:40.8385Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
"10","API dan IAS","KNO","3","TOILET,D4 PRIA","KNO-TP-D04","5","Satisfied","5","Lebih Baik Lagi","Customer Feedback, Complaint Handling, and Service Quality","Positive","5","5","5","5","5","5","Petugas ramah dan sopan|Berpenampilan rapi dengan seragam jelas|Cepat tanggap saat membantu penumpang",,,,"Ketersediaan tisu, sabun, air, dan hand dryer|Toilet memiliki aroma yang wangi",,,,"Jadwal kebersihan yang konsisten sehingga toilet selalu dalam kondisi bersih",,,,"dda890f7-03a2-492b-a713-e5fbd56c5dfa","Completed","New","07-12-2025 02:06:53","Anonymous","215537",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","01f4f038-24c4-4c5e-8607-032254333b0e",,,"true","False","QrCode","Bahasa","2025-12-06T19:03:16.0578Z",,,,,,,,,,,,,,"68b55898ba36f57e40594600"
