"﻿""sequence""",SUBHOLDING,NAMA LOKASI,REGION,TIPE FASILITAS,ID FASILITAS,Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?,Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional),"Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Fasilitas Toilet (Toilet bowl, Tisu, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami",Alur & Pengelolaan Toilet-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami,Respondent Id
1,API dan IAS,KNO,3,"TOILET,A7 PRIA",KNO-TP-A07,5,Sudah cukup baik,5,5,5,3a884352-9003-4614-8c08-1fdd224f93fe
2,API dan IAS,KNO,3,"TOILET,D1 WANITA",KNO-TW-D01,5,Tetap konsisten dengan kebersihan dan ramah tamah operator,5,5,5,e545c8ee-fd53-4f22-afdb-8227fc4914cf
3,API dan IAS,KNO,3,"TOILET,A7 PRIA",KNO-TP-A07,5,Tidak ada,5,5,5,849c8a03-3708-40e9-b031-fd42a131ef94
4,API dan IAS,CGK T2,1,TOILET T2D - BOARDING ROOM T2D-4 PRIA,API&IAS-TOILET-CGK T2-BL D4 TP,5,"Bersih, dan pelayanan ramah",5,5,5,f487cee0-a324-4fd4-b68e-98b9e17dc25b
5,API dan IAS,DPS,2,TOILET KEBERANGKATAN INTERNASIONAL LOBBY SISI TIMUR (PRIA + DIFABLE),DPS-TOILET-3A-P,4,Fasilitas pendukung dikubikal  agar dapat diperbaiki,5,4,5,06b48229-deb0-4e32-becc-71128a797ba6
6,API dan IAS,CGK T2,1,TOILET T2D - BOARDING ROOM T2D-5 PRIA,API&IAS-TOILET-CGK T2-BL D5 TP,5,Sudah bagus,5,5,5,ba003877-a698-4318-b13f-53f41da7c760
7,API dan IAS,KNO,3,"TOILET,A8 PRIA",KNO-TP-A08,5,Tidak ada,5,5,5,54b62811-1e54-4d06-9063-f0224ec160d2
8,API dan IAS,CGK T2,1,TOILET T2D - BOARDING ROOM T2D-1 PRIA,API&IAS-TOILET-CGK T2-BL D1 TP,2,Kotor sekali sampah penuh dan becek,3,3,2,3b8a2289-1806-438d-b96b-64d9a2da89fe
9,API dan IAS,UPG,5,TOILET 2A GATE 4 WANITA,UPG-TOILET-2A-W,2,"Cleaning service harus stay di depan toilet, spy tempat sampah tdk penuh dengan tissu, jadinya bau pesing dan.lantainya becek",2,4,1,6d910dde-6e86-4e4c-87d9-46a9a80630ae
10,API dan IAS,CGK T2,1,TOILET T2D - BAGGAGE CLAIM PRIA,API&IAS-TOILET-CGK T2-HCO D TP,4,"Saran dari saya agar di depan toilet mungkin bisa di tulis TULISAN PRIA/WANITA karna beberapa kali saya melihat Pria/Laki² keluar dari toilet Perempuan, mungkin di karenakan orang tersebut awam atau tidak bisa mengerti lambang/Logo 👱‍♂️👱‍♀️di tembok luar sebelum masuk ke toilet.
Terimakasih",4,4,3,00816c4f-760b-42c6-b623-1b233642eeee
11,API dan IAS,CGK T2,1,TOILET T2E - ARRIVAL CORRIDOR WANITA,API&IAS-TOILET-CGK T2-CCA E TW,4,Tolong dipertahankan kebersihan toilet-nya dan tolong dipastikan seluruh area kering! Terima kasih!,4,4,4,3d409b85-f47a-42d0-82da-f55a2d2e7d20
12,API dan IAS,DPS,2,TOILET KEDATANGAN DOMESTIK DEKAT UMKM (WANITA),DPS-TOILET-KORIDOR BARAT-W,4,Baik,4,4,4,ed38cead-9c6a-45f4-b99e-778eea8a2e70
13,API dan IAS,DPS,2,TOILET KEDATANGAN DOMESTIK PICKUPZONE TIMUR ( PENJEMPUTAN ) (WANITA),DPS-TOILET-JPO-W,4,Petugasnya ramah.,4,4,4,48ac86f0-a506-45a9-8873-b4bd606faeab
14,API dan IAS,DPS,2,TOILET KEBERANGKATAN DOMESTIK GATE 1B (WANITA),DPS-TOILET-DD08-W,4,Toilet bersih dan terlihat ada pengharum tambah mohon di jaga terus,4,5,4,df4e05ef-ba55-4abf-9e13-7ad44cc31244
15,API dan IAS,DPS,2,TOILET KEBERANGKATAN DOMESTIK GATE 1 (WANITA),DPS-TOILET-DD07-W,4,Mohon keramahtamahan terus  ditingkatkan lagi pokoknya Bali top,5,4,5,9afe0f6e-9a15-4495-a74b-fe3663c8caa5
