"﻿""sequence""",SUBHOLDING,NAMA LOKASI,REGION,TIPE FASILITAS,ID FASILITAS,NPS,Group_NPS,Numeric_NPS,Overall Satisfaction,Group_Overall Satisfaction,Numeric_Overall Satisfaction,Saran dan Masukan,Tags_Saran dan Masukan,Sentiment_Saran dan Masukan,People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami,Numeric_People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami,Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami,Numeric_Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami,Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami,Numeric_Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami,Respondent Id,Survey Status,Survey Mode,Sync On-DateTime,Sync By,Response Time,Interviewer Id,Subscription Id,Project Id,Questionnaire Version,Channel Type,Is Anonymous,Test Response,Distribution Channel,Response Language,Camp Sent On Date Time,Inapp Trigger Type,Inapp Trigger Value,Name,Email,Phone Number,ID,Client Name,Company Name,Keyword,Platform Category,Tone,Published Date,Survey Type,Final Tag Facility,Trigger Time,Response Imports,Campaign Id
2,API dan IAS,CGK T3,1,CHECK IN T3 DOM,HCI.T3.DOM,,,,1,Not Satisfied,1,"Penerbangqn international kami boarding pukul 08.10, tapi hingga jam 06.15 counter check in masih belum buka bahkan petugas tidak tampak sama sekali. Sangat tidak fair terhadap kami para penumpang yang  tetpaksa harus melakukan semua proses check in dan imigrasi dalam waktu 2 jam.",Check-in Process and Counter Availability,Negative,4,4,2,2,1,1,99927c4d-e7f6-41da-9977-279da5c5d7c3,Completed,,19-06-2026 06:20:25,,244722,,cab97c1f-67b4-11f0-a847-0a0cda9789f2,11cad9db-78d1-400a-80b6-3844b88ac336,9,,true,,,,,,,,,,,,,,,,,,,,,,
3,API dan IAS,CGK T3,1,CHECK IN T3 DOM,HCI.T3.DOM,,,,4,Satisfied,4,,,,,,,,,,252c2332-756b-421b-936a-432d3317a762,Partial,,19-06-2026 07:53:51,,,,cab97c1f-67b4-11f0-a847-0a0cda9789f2,11cad9db-78d1-400a-80b6-3844b88ac336,9,,true,,,,,,,,,,,,,,,,,,,,,,
4,API dan IAS,CGK T2,1,CHECK IN T2D,API-CHECK IN-CGK T2-HCI D,,,,5,Satisfied,5,,,,,,,,,,9932ffe4-832d-4ca9-be75-502672895015,Partial,,19-06-2026 11:28:42,,,,cab97c1f-67b4-11f0-a847-0a0cda9789f2,11cad9db-78d1-400a-80b6-3844b88ac336,9,,true,,,,,,,,,,,,,,,,,,,,,,
5,API dan IAS,CGK T2,1,TOILET T2EF - TRANSIT WANITA,API&IAS-TOILET-CGK T2-TRS EF TW,,,,5,Satisfied,5,,,,5,5,5,5,5,5,437b2258-39bc-4af5-a826-d1cd28fdf79a,Completed,,18-06-2026 22:21:47,,18825,,cab97c1f-67b4-11f0-a847-0a0cda9789f2,11cad9db-78d1-400a-80b6-3844b88ac336,9,,true,,,,,,,,,,,,,,,,,,,,,,
6,API dan IAS,CGK T2,1,TOILET T2F - CHECKIN WANITA,API&IAS-TOILET-CGK T2-HCI F TW,,,,5,Satisfied,5,Sangat rama etitutnya bagus & berkelas,Customer Service and Staff Behavior,Positive,5,5,5,5,5,5,8f3d21b0-7d46-4cf6-88bc-5303457f0684,Partial,,19-06-2026 02:47:09,,,,cab97c1f-67b4-11f0-a847-0a0cda9789f2,11cad9db-78d1-400a-80b6-3844b88ac336,9,,true,,,,,,,,,,,,,,,,,,,,,,
7,API dan IAS,KNO,3,"TOILET,P4 WANITA",KNO-TW-P04,,,,5,Satisfied,5,Rapi dan bersih. Penjaga ramah,"Customer Service and Staff Behavior|Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)",Positive,5,5,5,5,5,5,6cea954d-1620-4be6-806e-d57c408693ec,Completed,,19-06-2026 05:02:00,,134113,,cab97c1f-67b4-11f0-a847-0a0cda9789f2,11cad9db-78d1-400a-80b6-3844b88ac336,9,,true,,,,,,,,,,,,,,,,,,,,,,
8,API dan IAS,KNO,3,"TOILET,P4 WANITA",KNO-TW-P04,,,,5,Satisfied,5,Semoga dipertahankan keramabtamabannya,"Environmental Comfort (Air Conditioning, Temperature, Air Quality, Ventilation)",Positive,5,5,5,5,5,5,31301193-d057-40d2-891d-19fa98601559,Completed,,19-06-2026 05:08:30,,134122,,cab97c1f-67b4-11f0-a847-0a0cda9789f2,11cad9db-78d1-400a-80b6-3844b88ac336,9,,true,,,,,,,,,,,,,,,,,,,,,,
9,API dan IAS,CGK T3,1,TOILET T3 DOM - ARRIVAL CURBSIDE PRIA,D.G.02.P,,,,5,Satisfied,5,Toilet harum,"Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)",Positive,5,5,5,5,5,5,8b119311-51ff-40a3-b3b3-e942f3f5d47f,Completed,,19-06-2026 08:30:57,,76813,,cab97c1f-67b4-11f0-a847-0a0cda9789f2,11cad9db-78d1-400a-80b6-3844b88ac336,9,,true,,,,,,,,,,,,,,,,,,,,,,
10,API dan IAS,CGK T3,1,TOILET T3 DOM - ARRIVAL CURBSIDE WANITA,D.G.02.W,,,,5,Satisfied,5,Toilet bersih kering dan wangi,"Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)",Positive,5,5,5,5,5,5,2891b160-13cc-494d-ad9b-b8c351363b43,Completed,,19-06-2026 10:20:04,,523221,,cab97c1f-67b4-11f0-a847-0a0cda9789f2,11cad9db-78d1-400a-80b6-3844b88ac336,9,,true,,,,,,,,,,,,,,,,,,,,,,
11,API dan IAS,CGK T2,1,TOILET T2F - CHECKIN WANITA,API&IAS-TOILET-CGK T2-HCI F TW,,,,5,Satisfied,5,"Toilet bersih, pelayanan petugas baik & ramah","Customer Service and Staff Behavior|Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)",Positive,5,5,5,5,5,5,ec7bdec4-c1d6-4788-b40d-3642abd8742e,Completed,,19-06-2026 10:45:13,,72266,,cab97c1f-67b4-11f0-a847-0a0cda9789f2,11cad9db-78d1-400a-80b6-3844b88ac336,9,,true,,,,,,,,,,,,,,,,,,,,,,
