"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","API dan IAS","CGK T2","1","SCP T2F","API-SCP-CGK T2-SCP 2F",,,,"4","Satisfied","4",,,,,,,,,,"1f4eb4f3-2604-4cd6-a141-0225a1867d66","Partial",,"28-03-2026 20:37:39",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"2","API","SUB","4","T2, CENTRALIZE","SUB-SCP-T2- CENTRALIZE",,,,"1","Not Satisfied","1","gerbang pemeriksaan perlu ditambah","Security Checkpoint Efficiency and Procedures","Negative","5","5","5","5","1","1","2d32ad27-f7d3-4ec5-acf3-423012eb3ae4","Completed",,"29-03-2026 06:10:23",,"115009",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"3","API dan IAS","CGK T2","1","SCP T2D","API-SCP-CGK T2-SCP 2D",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","5047f744-e454-4413-86b8-605e5689a22b","Completed",,"29-03-2026 15:11:16",,"26422",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"4","API dan IAS","CGK T2","1","CHECK IN T2F UMROH","API-CHECK IN-CGK T2-HCI F LU",,,,"5","Satisfied","5","Mungkin harus diperluas lagi untuk mengatasi banyaknya orang setiap hari",,"Negative","5","5","5","5","5","5","0febabad-549c-4cec-9dfc-e57255867624","Completed",,"29-03-2026 05:36:17",,"112643",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"5","API","YIA","4","BOARDING LOUNGE DOMESTIK / GATE 1B","YIA-BR1B",,,,"3","Neutral","3","Akses pintu emergency di area avsec dihalangi tempat duduk. Bahaya sekali. Sudah saya foto buat bukti.","Security Checkpoint Efficiency and Procedures","Negative","5","5","3","3","3","3","8b4a0bc2-f6b2-464d-bf6f-c22b3bf3c2dc","Completed",,"28-03-2026 15:57:22",,"479533",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"6","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-2 PRIA","B. BL2. P",,,,"4","Satisfied","4",,,,,,,,,,"0241949f-08d4-4498-a529-5f14cdfeec2a","Partial",,"28-03-2026 15:16:41",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"7","API dan IAS","KNO","3","TOILET,A6 WANITA","KNO-TW-A06",,,,"5","Satisfied","5","Bagus banget, sangat membantu, ramah dan informatif","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","0c52cffb-2e94-48aa-9d2b-7406e4757ede","Completed",,"28-03-2026 15:53:32",,"68555",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"8","API dan IAS","CGK T2","1","TOILET T2F - CHECKIN WANITA","API&IAS-TOILET-CGK T2-HCI F TW",,,,"5","Satisfied","5","Toilet kering wanggi dan petugasnya ramah Tamah","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","4","4","4","4","4","4","a4762fc3-037f-4efd-bfd3-220a53951af3","Completed",,"28-03-2026 15:54:47",,"116505",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"9","API dan IAS","CGK T1","1","TOILET T1B - BOARDING ROOM T1B-3 PRIA","B. BL3. P",,,,"5","Satisfied","5","Fasilitas lengkap dan wangi","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","9dff61c7-089d-451f-bb40-1086c02786aa","Completed",,"28-03-2026 16:07:27",,"87756",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
"10","API dan IAS","CGK T3","1","TOILET T3 DOM - ARRIVAL PRIA","D.G.05.P",,,,"5","Satisfied","5","Bagus banget 😊","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","2327b77b-9853-46f1-8648-99866ecf0c77","Partial",,"28-03-2026 15:39:43",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,
