"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Sentiment_Saran dan Masukan","People-3PS","Numeric_People-3PS","Product or Premises-3PS","Numeric_Product or Premises-3PS","Process-3PS","Numeric_Process-3PS","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Trigger Time","Response Imports","Campaign Id"
"1","SARINAH","THAMRIN","JAKARTA","TOILET","SARINAH-THAMRIN-TOILET LT G - F-01",,,,"5","Satisfied","5","mba mba yang di toilet GF sangat ramah & bersih.",,"5","5","5","5","5","5","6c4acde8-e32d-4aaa-977c-c39398cf8474","Completed",,"21-01-2026 16:28:35",,"138055",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"2","SARINAH","THAMRIN","JAKARTA","TOILET","SARINAH-THAMRIN-TOILET LT B - M-01",,,,"5","Satisfied","5","Sangat bagus serta karyawannya baik2",,"5","5","5","5","5","5","289523ed-941e-445e-b80e-4e37ac6e189e","Completed",,"28-11-2025 16:04:47",,"166206",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"3","SARINAH","THAMRIN","JAKARTA","TOILET","SARINAH-THAMRIN-TOILET LT B - M-01",,,,"5","Satisfied","5","Sangat bagus serta karyawannya baik2",,"5","5","5","5","5","5","29eb1aeb-e2a6-473b-b19e-e5f46eaac26d","Completed",,"28-11-2025 16:04:47",,"166206",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"4","SARINAH","THAMRIN","JAKARTA","TOILET","SARINAH-THAMRIN-TOILET LT B - M-01",,,,"1","Not Satisfied","1","PINTU TOILETNYA DI LANTAI BAWAH DIBENERIN DONG ITU PINTU HAMPIR KEBUKA PAS SY LG BAB",,"5","5","1","1","4","4","e227df7a-77a2-406e-8508-81f46767a4f6","Completed",,"17-12-2025 21:00:59",,"148518",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"5","SARINAH","THAMRIN","JAKARTA","TOILET","SARINAH-THAMRIN-TOILET LT G - F-01",,,,"1","Not Satisfied","1","air di shower jet nya kecil banget , bener2 ga bisa buat bersihin sehabis buang air",,"5","5","1","1","1","1","b07b6e88-ad7e-4da1-b6e6-7d025ec7cb23","Completed",,"21-12-2025 16:56:26",,"102686",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"6","SARINAH","THAMRIN","JAKARTA","TOILET","SARINAH-THAMRIN-TOILET LT G - M-01",,,,"1","Not Satisfied","1","Cleaning service teriak teriak menggangu kenyamanan customer",,"1","1","3","3","3","3","fb9494b0-2dbb-4cf5-9bb5-ffb52a86b2d1","Completed",,"03-01-2026 17:41:19",,"37876",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"7","SARINAH","THAMRIN","JAKARTA","TOILET","SARINAH-THAMRIN-TOILET LT G - F-01",,,,"5","Satisfied","5",,,"5","5","5","5","5","5","7b98dd32-aefc-4a37-a8e1-db6949e267d1","Completed",,"06-01-2026 12:45:15",,"304117",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"8","SARINAH","THAMRIN","JAKARTA","TOILET","SARINAH-THAMRIN-TOILET LT G - F-01",,,,"3","Neutral","3","Bukan toilet, tapi ruang laktasi. Tolong diberikan kunci pintunya. Saya tadi pumping sangat tidak tenang karena takut ada yg buka dari luar",,"5","5","2","2","4","4","601f7468-c1c7-42f9-ac01-a593b9002d01","Completed",,"15-01-2026 12:27:54",,"117667",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"9","SARINAH","THAMRIN","JAKARTA","TOILET","SARINAH-THAMRIN-TOILET LT G - M-01",,,,"4","Satisfied","4","kalau ada anggaran beli toilet duduk cowok yg besar, agar kemaluan saya muat buat ditekuk. terima kasih :)",,"4","4","4","4","4","4","ff5de8df-aaf9-4b50-b59e-048ee439388e","Completed",,"24-01-2026 14:31:56",,"332415",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
"10","SARINAH","THAMRIN","JAKARTA","TOILET","SARINAH-THAMRIN-TOILET LT B - M-01",,,,"5","Satisfied","5","Sangat bagus serta karyawannya baik2",,"5","5","5","5","5","5","55f4606a-05f4-4621-a809-b443fb1c0a64","Completed",,"28-11-2025 16:04:47",,"166206",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","13f0a2e8-5edd-4fd1-8800-e369d83108ee","1",,"true",,,,,,,,,,,,,,,,,,,,
