"sequence","SUBHOLDING","NAMA LOKASI","REGION","TIPE FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall Satisfaction","Group_Overall Satisfaction","Numeric_Overall Satisfaction","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_People-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Product or Premises-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Numeric_Process-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di layanan kami","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","API dan IAS","CGK T2","1","SCP T2F UMROH","API-SCP-CGK T2-SCP 2 LU",,,,"5","Satisfied","5",,,,,,,,,,"666e3159-de38-46e4-bea3-a58767d96f68","Partial",,"21-05-2026 06:23:45",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"2","API dan IAS","CGK T2","1","SCP T2F UMROH","API-SCP-CGK T2-SCP 2 LU",,,,"5","Satisfied","5",,,,,,,,,,"b002e79e-907c-482a-b34c-4e9cc49c6763","Partial",,"21-05-2026 15:07:18",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"3","API dan IAS","CGK T1","1","PRAYING ROOM T1B - CC DEPARTURE","B. CCD. PR",,,,"5","Satisfied","5","Tingkat wanginya perlu ditambah sedikit lagi","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Negative",,,"5","5","4","4","e41ec958-6188-4234-adbd-b9d75033e46c","Completed",,"21-05-2026 04:12:43",,"107123",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"4","API","SUB","4","T1, GATE 10 CONCOURSE 4","SUB-NURSE-T1- GATE 10 CONCOURSE 4",,,,"3","Neutral","3","Kalau boleh jangan taro semprot pengharum ruangan di atas ganti popok","Nursery and Baby Care Facilities (Availability, Comfort, Maintenance)","Negative",,,"5","5","5","5","0ba3e024-65a9-410d-8311-8c8406956283","Completed",,"21-05-2026 13:58:36",,"46312",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"5","API dan IAS","CGK T2","1","CHECK IN T2D","API-CHECK IN-CGK T2-HCI D",,,,"4","Satisfied","4","There should be people helping to navigate self check-in and late check-in","Check-in Process and Counter Availability","Negative","3","3","4","4","3","3","89a12651-659b-473d-9b76-d3c63650f849","Completed",,"21-05-2026 15:59:45",,"233185",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"6","API dan IAS","SUB","4","T2,B5,PRIA","SUB-TOILE-T2-B5,PRIA",,,,"5","Satisfied","5","Toilet udah bersih, rapi.","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","80b7c6e1-982c-4ac2-808b-83d20ff6227c","Completed",,"20-05-2026 15:48:05",,"192257",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"7","API dan IAS","BPN","6","TOILET C3 - PRIA","BPN-TOILET-C3-P",,,,"2","Not Satisfied","2",,,,,,,,,,"fd6e3139-a4f3-4117-bc1c-54de0231d62b","Partial",,"20-05-2026 15:50:04",,,,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"8","API dan IAS","BPN","6","TOILET A2 - PRIA","BPN-TOILET-A2-P",,,,"5","Satisfied","5","Bersih, pelayanannya ramah. 
Pertahankan dan di tingkatkan","Customer Service and Staff Behavior","Positive","5","5","5","5","5","5","dc5e91b3-9968-4a41-bba0-cb82521fb37e","Completed",,"20-05-2026 17:17:17",,"95009",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"9","API","SUB","4","T1,GATE 10 CONCOURSE 4,DIFABEL","SUB-TOILE-T1-GATE 10 CONCOURSE 4,",,,,"5","Satisfied","5","Sudah sangat baik","Operational Efficiency and Overall Satisfaction (Flight Punctuality, Service Quality, Facility Improvements)","Positive","5","5","5","5","5","5","7b965eea-09ee-479b-bded-7f907f0cbfd7","Completed",,"20-05-2026 17:36:05",,"43452",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
"10","API dan IAS","CGK T1","1","TOILET T1B - CORRIDOR BEFORE SCP WANITA","B. SA. W",,,,"5","Satisfied","5","Toiletnya bersih dan harum","Restroom and Toilet Facilities (Cleanliness, Maintenance, Accessibility, Signage)","Positive","5","5","5","5","5","5","3c872d0b-97e9-4012-b8b6-9f58d15d3057","Completed",,"20-05-2026 18:48:44",,"86359",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","11cad9db-78d1-400a-80b6-3844b88ac336","9",,"true",,,,,,,,,,,,,,,,,,,,,,
