"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall CSAT","Group_Overall CSAT","Numeric_Overall CSAT","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-3PS","Numeric_People-3PS","Product/Premise-3PS","Numeric_Product/Premise-3PS","Process-3PS","Numeric_Process-3PS","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Good",,"Positive","5","5","5","5","5","5","24cbacc5-7395-48cd-be84-a5a043e5e12a","Completed",,"02-05-2026 11:15:53",,"65240",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-02T04:14:48.0644Z",,,,,,,,,,,,,,,,,
"2","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","ea2e01a1-0f5f-42b8-b12c-292e2f95a695","Completed",,"02-05-2026 11:16:25",,"73195",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-02T04:15:11.1849Z",,,,,,,,,,,,,,,,,
"3","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","-",,"Neutral","5","5","5","5","5","5","4a553bcf-11f2-4d5e-bcc1-e75cc99ed0b5","Completed",,"02-05-2026 11:17:47",,"70410",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-02T04:16:36.6976Z",,,,,,,,,,,,,,,,,
"4","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","So far so good",,"Positive","5","5","5","5","5","5","da8fe481-b85e-4259-a6bb-6e06f804ad1a","Completed",,"02-05-2026 11:17:59",,"72528",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-02T04:16:46.3943Z",,,,,,,,,,,,,,,,,
"5","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Rutenya diperpanjang kak karena seru sekali","Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","14304944-d0e0-4ff4-8db5-9200d9c8d230","Completed",,"02-05-2026 11:18:27",,"29597",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-02T04:17:58.3827Z",,,,,,,,,,,,,,,,,
"6","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Tolong perbanyak cctv, terkhusus di area parkiran","Safety and Security Measures","Negative","5","5","4","4","4","4","0887db7c-81e7-4597-83a9-0e2d5799fa09","Completed",,"02-05-2026 11:42:10",,"228605",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-02T04:38:21.1516Z",,,,,,,,,,,,,,,,,
"7","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Asli, salut banget sama petugas TMII! Tadi sempat panik gara-gara kucingku lepas, setelah hubungi customer care langsung ada petugas yang bantu nyari sampai ketemu. Pelayanannya juara, cepet, dan ramah-ramah semua. Big thanks ya, highly appreciated! ✨","Staff Friendliness and Service Quality|Tourist Information and Guidance","Positive","5","5","5","5","5","5","d52fb767-b738-4eac-9643-50b11a77ddfb","Completed",,"02-05-2026 12:04:24",,"528126",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-02T04:55:34.6134Z",,,,,,,,,,,,,,,,,
"8","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","sudah baik, untuk tourguide harusnya 2 atau speaker lebih besar, karena yg paling belakang tidak terdengar","Tourist Information and Guidance","Negative","5","5","5","5","5","5","ec36dbd6-be22-4031-9d1f-fc97365f0ae7","Completed",,"02-05-2026 14:46:50",,"92519",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-02T07:45:13.3657Z",,,,,,,,,,,,,,,,,
"9","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"1","Not Satisfied","1","Kita gak bisa naik mobil pribadi tapi angkutan keliling nya gak banyak. saya pesan 5 wahana.
Harusnya di fasilitaskan","Accessibility and Ease of Navigation","Negative","1","1","1","1","1","1","3f183d1e-52ad-45b5-8435-89aca8d616fb","Completed",,"02-05-2026 15:03:51",,"705054",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-02T07:51:57.0763Z",,,,,,,,,,,,,,,,,
"10","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Sangat informatif dan detail","Tourist Information and Guidance","Positive","5","5","4","4","5","5","d3e4ad82-fe6c-40e7-a0d1-8dd022c457f0","Completed",,"02-05-2026 16:57:24",,"50666",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-02T09:56:33.3988Z",,,,,,,,,,,,,,,,,
"11","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Sangat informatif, mungkin untuk armada bisa ditambah","Tourist Information and Guidance","Positive","5","5","3","3","5","5","ca44d0c5-c915-4071-bbee-c806a1bf160f","Completed",,"02-05-2026 17:02:12",,"325027",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-02T09:56:46.5648Z",,,,,,,,,,,,,,,,,
"12","IDM","BOROBUDUR","TOILET","PUPR","IDM-BOROBUDUR-TOILET-PUPR-01",,,,"3","Neutral","3","Menyediakan toilet jongkok","Facility Cleanliness and Maintenance","Neutral","5","5","4","4","3","3","99ea0736-aa89-4838-bfac-84ea0e335f8d","Completed",,"02-05-2026 15:13:29",,"211556",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-02T08:09:57.3600Z",,,,,,,,,,,,,,,,,
"13","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01",,,,"5","Satisfied","5","petugas nya ramah, profesional bgt","Staff Friendliness and Service Quality","Positive","5","5","5","5",,,"fbe8f7a5-a5e9-4099-8733-d65c557bf7c3","Completed",,"01-05-2026 14:06:32",,"51418",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-01T07:05:41.6175Z",,,,,,,,,,,,,,,,,
"14","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01",,,,"5","Satisfied","5","shuttle mudah di akses","Transportation and Shuttle Services","Positive","5","5","5","5",,,"8eb08870-c36c-4866-872a-dd540ff518ed","Completed",,"01-05-2026 14:07:11",,"25273",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-01T07:06:45.6687Z",,,,,,,,,,,,,,,,,
"15","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01",,,,"5","Satisfied","5","baikkk",,"Positive","5","5","5","5",,,"f1ecf369-8de6-451c-aa26-bed2a2c479c4","Completed",,"01-05-2026 16:14:27",,"19945",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-01T09:14:06.4965Z",,,,,,,,,,,,,,,,,
"16","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01",,,,"5","Satisfied","5","semoga shuttlenya bisa tertutup karna disaat hujan saya terkena cipratan hujan","Transportation and Shuttle Services","Negative","5","5","5","5",,,"d84cb4db-7799-46e2-8a4d-fcd73a5e01bf","Completed",,"01-05-2026 16:16:39",,"126994",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-01T09:14:32.0360Z",,,,,,,,,,,,,,,,,
"17","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01",,,,"5","Satisfied","5","nyaman","Amenities and Comfort (AC, Seating, Wangi, etc.)","Positive","5","5","5","5",,,"730fd31e-b4a2-49c3-9b4e-e51d8e5fd7e9","Completed",,"01-05-2026 16:18:19",,"91432",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-01T09:16:48.3953Z",,,,,,,,,,,,,,,,,
"18","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01",,,,"5","Satisfied","5","nyaman","Amenities and Comfort (AC, Seating, Wangi, etc.)","Positive","5","5","5","5",,,"5ecd4ccc-3e54-4e03-bd19-92c7b4595de0","Completed",,"01-05-2026 16:21:02",,"19797",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-01T09:20:42.3328Z",,,,,,,,,,,,,,,,,
"19","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01",,,,"5","Satisfied","5","baik",,"Positive","5","5","5","5",,,"47204d14-3ddf-4918-8bd4-5389886a2506","Completed",,"01-05-2026 16:22:02",,"52418",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-01T09:21:09.8309Z",,,,,,,,,,,,,,,,,
"20","IDM","TMII","SHUTTLE","LRT 1","IDM-TMII-SHUTTLE -LRT 1-01",,,,"5","Satisfied","5","petugas nya sangat ramah dan membantu","Staff Friendliness and Service Quality","Positive","5","5","5","5",,,"067797fc-2b67-4323-8117-f9df0f626abd","Completed",,"01-05-2026 17:10:12",,"56501",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-05-01T10:09:15.9197Z",,,,,,,,,,,,,,,,,
