"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall CSAT","Group_Overall CSAT","Numeric_Overall CSAT","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-3PS","Numeric_People-3PS","Product/Premise-3PS","Numeric_Product/Premise-3PS","Process-3PS","Numeric_Process-3PS","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","IDM","PRAMBANAN","CULINARY","Resto","IDM-PRAMBANAN-CULINARY-Resto-01",,,,"4","Satisfied","4",,,,"5","5","5","5","5","5","6b6aa15a-c4b3-4155-b1ec-ccb1914e24d2","Completed",,"07-06-2026 16:24:55",,"28333",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"2","IDM","PRAMBANAN","TOILET","A","IDM-PRAMBANAN-TOILET-A-01",,,,"2","Not Satisfied","2","Water flushing toilet disfunction","Facility Cleanliness and Maintenance","Negative","3","3","2","2","3","3","6dc1fdb7-b36a-429f-899e-74069b420e71","Completed",,"07-06-2026 13:59:09",,"77066",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"3","IDM","PRAMBANAN","TOILET","E","IDM-PRAMBANAN-TOILET-E-01",,,,"2","Not Satisfied","2","toiletnya mungkin sudah harus direvitalisasi lagi biar orang nyaman","Facility Cleanliness and Maintenance","Neutral","4","4","4","4","2","2","641dfe18-a26c-414a-ac4e-6dee82766a4b","Completed",,"07-06-2026 17:28:13",,"148714",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"4","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","tur sepeda gratis insightful banget sama kak vio, seru banget","Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","bab491bf-f4d4-4f59-b466-e1f8d72cc3bd","Completed",,"07-06-2026 11:20:56",,"135160",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"5","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Super insightful, penjelasannya sangat mudah dipahami dan sangat enak menjelaskannya (tidak kaku)","Tourist Information and Guidance","Positive","5","5","4","4","4","4","0adb8e18-0df1-4b36-8f0d-5d86821a8b3c","Completed",,"07-06-2026 11:21:05",,"150341",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"6","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","5a06d703-8a2c-41f1-980c-7407a7cfffac","Completed",,"07-06-2026 11:21:10",,"90741",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"7","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Tur Sepeda Gratis super seru dan informatif, a lot of new information yang baru ku tau terkait culture, tidak hanya tentang makanan. Ka Vio as tour guide super informatif dan seruu!!","Tourist Information and Guidance|Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","6756718f-825d-4eea-a704-0e9f505293ac","Completed",,"07-06-2026 11:22:03",,"199484",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"8","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Insightful, apalagi mas vio pembawaannya sgt santai dan mengajak audience utk aktif salah satunya dgn bertanya kepada audience.

Lebih keren lagi nanti di tanggal tertentu, disetiap perwakilan anjungan provinsi prsentasi yg ada di daerah mereka also dgn bahasa merka dikit2 biar makin keren makin berasa feel nya","Tourist Information and Guidance","Positive","5","5","5","5","5","5","713019ce-2887-47e7-aa39-265948c0a675","Completed",,"07-06-2026 11:23:14",,"271451",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"9","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","SERUUUUU BANGETTTT, KAK VIO INFORMATIF, SUPER FUN, DAN LUCU BGT SUKA NGELAWAK HAHA","Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","a7e5b1da-64b2-43f2-84c1-6a61200b268c","Completed",,"07-06-2026 11:26:07",,"408215",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"10","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","terimakasih buat mas wahyu dan mba satunya tadi juga atas bantuannya ya, bagus staff cs tmii gercep dan ramah bantu saya sempat ada kendala di loker penyimpanan barang sampe selesai bahkan ditungguin, pertahankan terus ya","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","39a9294c-36d5-4a49-9b61-4939556fd486","Completed",,"07-06-2026 14:34:22",,"1388171",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"11","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Sudah baik",,"Neutral","5","5","5","5","5","5","7b08671f-4388-476b-8211-f126520f8228","Completed",,"07-06-2026 14:52:59",,"72649",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"12","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","It was fun, i totally enjoyed it.. Thanks in advance 🫶🏻",,"Positive","5","5","5","5","5","5","374bbd78-d8dc-4a51-a3cc-be9c38e78b64","Completed",,"07-06-2026 14:53:17",,"65867",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"13","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","001d296e-150d-4902-8630-b25c7351445b","Completed",,"07-06-2026 14:53:24",,"38468",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"14","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"3","Neutral","3","layanan sangat memuaskan","Staff Friendliness and Service Quality","Positive","5","5","5","5","5","5","85eb62f3-6048-43c8-b3f2-7b4c37efee5c","Completed",,"07-06-2026 14:53:40",,"63799",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"15","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","1b43ad6f-a18b-41d6-a6d1-a0ae206481c9","Completed",,"07-06-2026 14:53:55",,"44123",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"16","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","seruu","Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","a2509aa3-fc6d-43a3-b714-615baff4f76a","Completed",,"07-06-2026 14:54:05",,"55448",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"17","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","-",,"Neutral","5","5","5","5","5","5","cdf379d0-356d-48c1-ae6c-c31e40f710af","Completed",,"07-06-2026 14:54:34",,"28999",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"18","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Seru banget, kakak pemandunya juga asik","Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","3e39ee84-9bb6-4dc5-9610-fd4db21fd6e5","Completed",,"07-06-2026 14:54:44",,"170926",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"19","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5",,,,"5","5","5","5","4","4","128a49bc-ae8e-4fee-aeb2-2aa0a0db7fd0","Completed",,"07-06-2026 14:54:59",,"110380",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"20","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","kakaknya tour guidenya ramah bgt dan baik, programnya bagus dan menambah pengetahuan, thxx tmii","Staff Friendliness and Service Quality|Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","6c841ef8-744b-4c2c-a519-c800ae2f5297","Completed",,"07-06-2026 14:56:29",,"60605",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
"21","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Jam nya lbh banyak dlm sehari",,"Neutral","5","5","5","5","5","5","8e3220a5-3831-4d00-bef3-7eb2e8cc6473","Completed",,"07-06-2026 16:48:34",,"78526",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,,
