"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","NPS","Group_NPS","Numeric_NPS","Overall CSAT","Group_Overall CSAT","Numeric_Overall CSAT","Saran dan Masukan","Tags_Saran dan Masukan","Sentiment_Saran dan Masukan","People-3PS","Numeric_People-3PS","Product/Premise-3PS","Numeric_Product/Premise-3PS","Process-3PS","Numeric_Process-3PS","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Survey Type","Final Tag Facility","Trigger Time","Response Imports","Campaign Id"
"1","IDM","TMII","MERCHANDISE STORE","Merchandise Store Counter","IDM-TMII-Merchandise Store -Merchandise Store Counter-01",,,,"2","Not Satisfied","2","Ruang menyusui","Amenities and Comfort (AC, Seating, Wangi, etc.)","Neutral","4","4","4","4","2","2","731f4389-9e07-47ab-b515-59fc4e437cac","Completed",,"23-03-2026 18:14:26",,"139719",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-23T11:12:05.8687Z",,,,,,,,,,,,,,,,,
"2","IDM","TMII","MUSEUM","Museum Pusaka","IDM-TMII-MUSEUM-Museum Pusaka-01",,,,"5","Satisfied","5","Ternyata banyak sekali jenis keris dan fungsinya, buat yang belum tahu harus banget datang kesini.","Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","ce55febf-6493-420d-b2c2-3b1fa828f096","Completed",,"23-03-2026 14:37:15",,"108903",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,
"3","IDM","TMII","MUSEUM","Museum Pusaka","IDM-TMII-MUSEUM-Museum Pusaka-01",,,,"5","Satisfied","5","Museum ini sudah sangat bagus, lingkungannya bersih, pelayanan sangat baik dan dipenuhi dengan kris yabg keren - keren. Museum ini dapat menjadi sarana belajar bagi anak muda yang menarik, menyenangkan, dan invovstif.","Facility Cleanliness and Maintenance|Staff Friendliness and Service Quality|Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","403218c0-8d86-4251-96b6-7c30caeb6b20","Completed",,"23-03-2026 15:00:18",,"152397",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,
"4","IDM","TMII","MUSEUM","Museum Pusaka","IDM-TMII-MUSEUM-Museum Pusaka-01",,,,"5","Satisfied","5","Museum ini sangat bagus, lingkungannya bersih dan nyaman, pelayanannya baik, fasilitas dan koleksi lengkap","Facility Cleanliness and Maintenance|Staff Friendliness and Service Quality|Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","a179382b-220f-4088-a9e0-8544c7af05ea","Completed",,"23-03-2026 15:01:34",,"89274",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,,,,,,,,,,,,,,,,,,
"5","IDM","TMII","TOILET","Elevated  Parking LT 3 Zona  3","IDM-TMII-TOILET -Elevated  Parking LT 3 Zona  3-01",,,,"1","Not Satisfied","1","Toilet bau, becek, tissue kosong.","Facility Cleanliness and Maintenance","Negative","3","3","1","1","2","2","67f3e087-0d48-40b5-992a-5b8954ea9095","Completed",,"23-03-2026 13:21:07",,"331782",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-23T06:15:35.3894Z",,,,,,,,,,,,,,,,,
"6","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","fcaba13b-ecb3-4cab-a114-b5f1efc6b6d0","Completed",,"23-03-2026 11:35:04",,"57437",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-23T04:34:06.1865Z",,,,,,,,,,,,,,,,,
"7","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","baguss",,"Positive","5","5","5","5","5","5","616e7a8a-a35a-4431-94be-36ad3c0c0795","Completed",,"23-03-2026 11:35:17",,"86431",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-23T04:33:51.2135Z",,,,,,,,,,,,,,,,,
"8","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","tidak ada semuanya sudah memuaskan dari pelayanan dan informasinya","Staff Friendliness and Service Quality|Tourist Information and Guidance","Positive","5","5","5","5","5","5","1b114a08-7b31-47ee-bbf3-8da15860c186","Completed",,"23-03-2026 11:35:50",,"106310",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-23T04:34:03.8566Z",,,,,,,,,,,,,,,,,
"9","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","tidak ada",,"Neutral","5","5","5","5","5","5","32be4d66-c243-4a6f-85b2-58e8c9230008","Completed",,"23-03-2026 11:38:38",,"289021",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-23T04:33:48.7396Z",,,,,,,,,,,,,,,,,
"10","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","cuacanya ga terlalu panas buat sepedahan, seru dan sejuk","Environmental Sustainability and Green Initiatives","Positive","5","5","5","5","5","5","2f7df643-728c-4024-9a1f-6f2f992229e0","Completed",,"23-03-2026 14:37:10",,"39989",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-23T07:36:30.0811Z",,,,,,,,,,,,,,,,,
"11","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","sepedahan menambah pengalaman dan ilmu","Activities and Attractions Enhancement","Positive","5","5","5","5","5","5","f25bbf50-de71-4847-9cd8-781c210a7fdd","Completed",,"23-03-2026 14:38:34",,"66028",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-23T07:37:28.5934Z",,,,,,,,,,,,,,,,,
"12","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5",,,,"5","5","5","5","5","5","df638225-2d95-4a40-91d5-07ee4f9b25e0","Completed",,"23-03-2026 16:29:15",,"42925",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-23T09:28:32.0845Z",,,,,,,,,,,,,,,,,
"13","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5",,,,"5","5","5","5","4","4","5e0ff50f-902c-45f9-8e99-8cb27f1fd9cf","Completed",,"23-03-2026 16:29:34",,"71517",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-23T09:28:22.1340Z",,,,,,,,,,,,,,,,,
"14","IDM","TMII","PUSAT INFORMASI","Pusat Informasi Main Lobby","IDM-TMII-PUSAT INFORMASI-Pusat Informasi Main Lobby-01",,,,"5","Satisfied","5","Okee",,"Positive","5","5","5","5","5","5","ee323b5f-974f-452e-a36a-f67bd464b18f","Completed",,"23-03-2026 16:32:22",,"38387",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-23T09:31:43.6044Z",,,,,,,,,,,,,,,,,
"15","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01",,,,"5","Satisfied","5","Ramah supirnya, pelayanannya bagus, dan cepat sampai","Staff Friendliness and Service Quality","Positive","5","5","5","5",,,"894f8251-cef1-4d87-af36-8783025249f4","Completed",,"22-03-2026 11:53:59",,"178523",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-22T04:51:00.2640Z",,,,,,,,,,,,,,,,,
"16","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01",,,,"5","Satisfied","5","terimakasih mas zidan untuk informasi acara hari ini","Tourist Information and Guidance","Neutral","5","5","5","5",,,"ce392856-8fea-4604-a44a-4ff11262ea22","Completed",,"22-03-2026 14:06:35",,"115746",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-22T07:04:39.4530Z",,,,,,,,,,,,,,,,,
"17","IDM","TMII","SHUTTLE","LRT 2","IDM-TMII-SHUTTLE -LRT 2-01",,,,"5","Satisfied","5","nyaman","Amenities and Comfort (AC, Seating, Wangi, etc.)","Positive","5","5","5","5",,,"55c13675-292a-4159-ad3b-48a1fd73bc02","Completed",,"22-03-2026 14:07:11",,"22496",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","80eab614-c35c-4181-8073-8f1bbbf463e7","4",,"true",,,,"2026-03-22T07:06:48.7996Z",,,,,,,,,,,,,,,,,
